Date,XLF.MX,IGF.MX,VGK.MX,EFA.MX,IVW.MX,IAU.MX,SOXX.MX,SOXS.MX,EPU.MX,EWZ.MX,CORP.MX,SDIAN.MX,IBTAN.MX,QVGMEX18.MX,PSOTRAC15.MX,NAFTRACISHRS.MX,MEXTRAC09.MX,IVVPESOISHRS.MX,GENIUS21.MX,FIBRATC14.MX,ESGMEXISHRS.MX,DLRTRAC15.MX,DIABLOI10.MX,ANGELD10.MX,FCFE18.MX,FHIPO14.MX,TERRA13.MX,FUNO11.MX,FSHOP13.MX,FPLUS16.MX,FMTY14.MX,FINN13.MX,FIHO12.MX,FIBRAPL14.MX,FIBRAMQ12.MX,FIBRAHD15.MX,DANHOS13.MX,FNOVA17.MX
2020-01-05,578.0476684570312,878.9998168945312,1088.5686645507812,1285.1202392578125,906.9562377929688,277.3300018310547,1413.4024658203125,9137485.0,687.8640441894531,887.1083679199219,2115.419677734375,,99.41500091552734,21.149999618530277,7.870999813079834,37.69263458251953,37.13999938964844,55.85999870300293,,14.717860221862793,,18.704999923706055,12.694999694824219,17.385000228881836,14.07288932800293,10.995869636535645,18.458166122436523,17.673274993896484,6.7835774421691895,11.552667140960692,7.300410509109497,6.220410108566284,7.485505819320679,24.712822914123535,15.851759910583496,7.040680646896362,17.909101486206055,11.583293914794922
2020-01-12,574.4026123046875,878.9998168945312,1082.17734375,1284.9860595703126,906.9562377929688,281.097998046875,1406.294921875,9284545.6,682.7675903320312,864.8604125976562,2100.52578125,102.21799926757812,99.11200103759765,21.045000076293945,7.870999813079834,37.64771041870117,37.17600021362305,56.1479995727539,,14.694955635070801,,18.636999893188477,12.7,17.445999526977538,13.958121299743652,10.995869636535645,18.514753341674805,17.9126335144043,6.990403556823731,11.07673683166504,7.231286525726318,6.782607364654541,7.6212303161621096,24.411126327514648,15.54565200805664,7.0310829162597654,17.7889892578125,11.583293914794922
2020-01-19,573.6275634765625,878.9998168945312,1080.439990234375,1284.8966064453125,906.9562377929688,278.5940002441406,1449.0692545572917,8757153.8,675.1797973632813,848.8783569335938,2040.9501953125,101.84599914550782,98.70600128173827,21.394000244140624,7.954999828338623,38.14276657104492,37.75599975585938,56.876000213623044,,14.81988582611084,,18.57060012817383,12.510000038146973,17.895999908447266,13.861048889160156,10.995869636535645,18.567301177978514,18.515137481689454,7.064520359039307,11.141905975341798,7.251902866363525,6.921681118011475,7.4581962585449215,24.755587005615233,15.696593284606934,7.010427761077881,18.093272018432618,11.583293914794922
2020-01-26,572.60078125,878.9998168945312,1077.8424072265625,1280.1232177734375,906.9562377929688,279.5419982910156,1451.53369140625,8323577.9,673.823974609375,851.2172485351563,2040.9501953125,102.18000030517577,98.97249984741211,21.789999961853024,7.98179988861084,38.57847213745117,38.35000038146973,57.4240005493164,,15.107235145568847,,18.55,12.342000198364257,18.10199966430664,14.088561248779296,11.049176216125488,18.673550415039063,18.942231369018554,7.120991802215576,11.001693534851075,7.274943923950195,6.91156702041626,7.643575382232666,24.79659538269043,16.488747787475585,7.012149524688721,18.345818328857423,11.346899032592772
2020-02-02,571.1994018554688,878.9998168945312,1054.958447265625,1257.23466796875,906.9562377929688,284.31800537109376,1400.897705078125,9250674.0,657.5073608398437,824.6398071289062,2040.9501953125,102.47799835205078,99.43200225830078,21.20999984741211,8.00260009765625,37.77316436767578,37.55400009155274,56.347999572753906,,14.617265701293945,,18.625799942016602,12.616000175476074,17.256000518798828,14.156309890747071,11.141610527038575,17.88533134460449,18.404845809936525,7.064520740509034,11.509221076965332,7.276155853271485,6.659546852111816,6.979024219512939,24.489718627929687,15.945599365234376,7.010428237915039,17.855514526367188,11.381175994873045
2020-02-09,581.6837005615234,894.0814971923828,1065.08447265625,1242.8914794921875,906.9562377929688,278.99500274658203,1399.9943440755208,8505454.0,639.52587890625,820.1364440917969,2041.245361328125,102.14666493733723,98.58000183105469,21.209999561309818,7.98799991607666,37.83250045776367,37.947500228881836,57.60749912261963,,14.818416595458984,,18.486124992370605,12.649999856948853,17.40499973297119,13.653256177902222,10.900881052017212,17.937013626098633,18.663783073425293,7.08357870578766,11.151532888412476,7.245080590248108,6.6639721393585205,6.657921195030212,25.054154872894287,16.68248987197876,7.016022562980652,17.998419284820557,11.346899032592772
2020-02-16,580.8565063476562,898.4859130859375,1069.3893798828126,1250.2442626953125,906.9562377929688,279.5740051269531,1447.7174377441406,7782743.8,639.52587890625,797.6151977539063,2041.245361328125,101.84400024414063,98.58800048828125,21.318000030517577,7.98799991607666,38.04951095581055,37.873999786376956,58.35800018310547,,14.806149101257324,,18.43219985961914,12.57400016784668,17.68400001525879,13.105709648132324,10.27963466644287,17.681491470336915,18.71579818725586,7.07440299987793,11.384807777404784,7.257966136932373,6.655332756042481,6.643024826049805,25.067518997192384,16.874696731567383,7.067934608459472,17.835802841186524,11.346899032592772
2020-02-23,573.2013427734375,899.7431640625,1068.336181640625,1251.53193359375,956.2549682617188,288.1159973144531,1472.94970703125,7769253.125,639.52587890625,788.7475219726563,2041.245361328125,101.97333272298177,98.5625,21.317999649047852,8.083999824523925,38.00034637451172,37.668000030517575,58.55799942016601,,14.769718170166016,,18.4697998046875,12.688000297546386,17.639999771118163,13.78723430633545,10.367534637451172,17.68495864868164,18.47671127319336,7.056050777435303,11.600062561035156,7.259704113006592,6.550816917419434,6.734886837005615,25.64409637451172,16.878437805175782,7.128941059112549,17.643622207641602,11.29962043762207
2020-03-01,549.6533203125,899.7431640625,1023.6518188476563,1216.579736328125,954.6103759765625,300.78599853515624,1348.9908040364583,10918336.0,630.4111083984375,737.2365478515625,2041.245361328125,105.46800079345704,102.35800018310546,20.339999771118165,7.907599925994873,36.008271026611325,35.66599960327149,53.80200042724609,,14.395645380020142,,19.11700019836426,13.4,15.884000015258788,13.2321044921875,10.510440063476562,17.329249572753906,17.953109741210938,7.063174152374268,12.332718849182127,7.316041564941406,6.451357746124268,6.56109390258789,24.906629943847655,16.379592514038087,7.201773929595947,17.222303771972655,11.232249069213868
2020-03-08,523.02490234375,860.7301025390625,1020.2278076171875,1206.723388671875,898.7332763671875,308.5179931640625,1371.1256591796875,10573073.8,624.3345947265625,723.7125122070313,2041.521484375,108.52249908447266,105.09399871826172,19.882000350952147,7.731800174713134,35.86585693359375,35.45800018310547,52.831999969482425,,14.552499771118164,,19.486399841308593,13.226000022888183,15.639999961853027,13.190648078918457,10.723666572570801,17.294601058959962,18.308154678344728,7.065372943878174,11.744223976135252,7.351722717285156,6.233896160125733,6.617369747161865,24.91977653503418,16.753728485107423,7.380857849121094,17.146693801879884,11.282266807556152
